Combined list of locations,,,
S.No.,Location Name,Latitude,Longitude
156,Bhinder Point,28.59602222,77.20744167
157,C V Raman Marg,28.56099722,77.27274444
158,CDR Chowk,28.505766,77.174618
159,"Chhata Rail,Chandni Chowk T Point",28.660225,77.23141944
160,Jhande walan,28.64663333,77.20508889
161,K G Marg Firoz Shah Crossing,28.622801,77.225465
162,"Kalindi, Jasola",28.541766,77.299013
163,Kapshera Chowk,28.52985,77.08733
164,Kingsway Camp Chowk,28.698935,77.204699
165,Kondli R/A,28.613004,77.322908
166,Kirbi Place,28.604922,77.127621
167,"Kodia Pul, Subhash Park T Point",28.649755,77.239032
168,Laxmi Nagar T Point,28.630027,77.276571
169,Liberty cinema,28.65947778,77.19015833
170,MCD Chowk Near LG House,28.674246,77.21684
171,Mandi House,28.625742,77.231969
172,Nangloi Chowk,28.682006,77.067581
173,Pahar Ganj Chowk,28.645769,77.20962
174,Rajghat Crossing,28.639514,77.246832
175,R G Ring Rood Kirti Nagar,28.65691389,77.14943889
176,R.A Pusa,28.641973,77.174212
177,Ridge Road Simon Bolivar Marg,28.60200833,77.18070278
178,Rithala Chowk Near Rithala Metro Station,28.720191,77.108025
179,RK Puram Chowk Sec-1,28.563655,77.179202
180,"Sec-1,2 Crossing Dwarka",28.595,77.071877
181,Sec-7-9 Crossing Dwarka,28.591432,77.057751
182,Seelampur T Point,28.669956,77.263195
183,S-Block Chowk Near Sanjay Gandhi Hospital,28.692568,77.082053
184,"Shakti Nagar Chowk, Mori Gate T Point",28.681568,77.198429
185,Shamshan Ghat Pusta Road,28.6547,77.264747
186,Surya Nagar Red Light,28.66410833,77.32069722
187,Vishal Enclave Chowk,28.654285,77.118496
188,"Water Tank Chowk, Gulab Singh Road",28.688167,77.174517
189,Ali Village,28.51501667,77.29694722
190,Dwarka link road,28.53805278,77.09238611
191,Ganesh Nagar,28.62165,77.28488889
192,Khanpur,28.51410556,77.232925
193,Sagar pur,28.60922222,77.09886667
194,South Extension,28.56776944,77.22550833
195,Bawana Chowk,28.800124,77.03551
196,Firni Road Najafgarh,28.60901667,76.98531389
197,Khera More,28.611183,76.975099
198,Patel Chowk,28.6234,77.212748
199,Bhera Enclave,28.66926944,77.09293611
200,"Sadik Nagar, Garhi",28.560557,77.231363
201,"T Point Near Transport Authority, Burari",28.73004167,77.19829444
202,"Y-Block Chowk, Near Ganda Nala",28.70325833,77.08866944
203,Yusuf Sarai,28.56144722,77.20745833
204,"Chowk, Near Shahbad Bawana Railway Underpass",28.74558611,77.10406667
205,GGR Station Road,28.69852500 ,77.18543056
206,Guru Nanak Chowk,28.65703333,77.21869444
207,Hari Nagar,28.624877,77.110854
